name,sourceid
Bajaj Auto Finance Limited,54351
Bajaj Auto Limited,54354
Bajaj Electricals Limited,54357
Bajaj Finserv Limited,54360
Bajaj Global Limited,54363
Bajaj Hindusthan Limited,54365
Bajaj Hindusthan Sugar & Industries Limited,54368
Bajaj Holdings & Investment Limited,54370
Bajaj Steel Industries Limited,54373
Bajrang Finance Limited,54375
Bal Pharma Limited,54377
Bala Techno Global Limited,54380
Bala Techno Industries Limited,54382
Balaji Amines Limited,54384
Balaji Distilleries Limited,54387
Balaji Hotels & Enterprises Limited,54390
Balaji Telefilms Limited,54393
Balasore Alloys Limited,54396
Balkrishna Industries Limited,54399
Ballarpur Industries Limited,54402
Balmer Lawrie & Company Limited,54405
Balmer Lawrie Investment Limited,54408
Balrampur Chini Mills Limited,54410
Balurghat Technologies Limited,54413
Bambino Agro Industries Limited,54416
Bampsl Securities Limited,54418
Banco Products (India) Limited,54420
Bang Overseas Limited,54423
Bank Of Baroda,54426
Bank Of India,54429
Bank Of Maharashtra,54432
Bank Of Punjab Limited,54435
Bank Of Rajasthan Limited,54438
Bannari Amman Spinning Mills Limited,54441
Bannari Amman Sugars Limited,54444
Banswara Syntex Limited,54447
Barak Valley Cements Limited,54450
Bartronics India Limited,54453
Basant Agro Tech (India) Limited,54456
Basil Infrastructure Projects Limited,54458
Bata India Limited,54460
Batliboi Limited,54463
Bayer CropScience Limited,54466
Beardsell Limited,54469
Beckons Industries Limited,54471
Beeyu Overseas Limited,54473
Belapur Industries Limited,54475
Bell Ceramics Limited,54477
Bellary Steels & Alloys Limited,54480
Bells Controls Limited,54483
Bemco Hydraulics Limited,54486
Benares Hotels Limited,54488
Bengal Tea & Fabrics Limited,54490
Bengal and Assam Company Limited,54493
Benzo Petro International Limited,54495
Berger Paints India Limited,54497
Bervin Investment & Leasing Limited,54500
Beryl Drugs Limited,54502
Beryl Securities Limited,54504
Best & Crompton Engineering Limited,54506
Best Eastern Hotels Limited,54509
Beta-Kappa Investments Limited,54511
Betala Global Securities Limited,54513
Bhagawati Gas Limited,54515
Bhagawati Oxygen Limited,54518
